Pos, Facility ID, Facility Name, Lat, Lng, Points
64, 11efd8c3f0f1b75085346d6e65b3d095,Wilfred T Lipton Arena,55.8244,-98.8348,152
65, 11efd4f031d4e490fae299e67c87685a,Bienfait Memorial Arena,49.1895,-104.4374,149
66, 11efcd1057a003904627c103b195fc0a,Sangudo Arena,53.8486,-114.4361,141
67, 11eec5e85326a470f60b4a810ad1314f,Jim Ciccone Civic Centre,54.3146,-130.3413,139
68, 11E9F686BBC7D3B881807B23EA662A63,Jus Jordan Arena,48.7614073,-80.682553,138
69, 11eeca8cd68533b0e6f0f01529983a7c,Hespeler Memorial Arena,43.4317,-80.3112,132
70, 11E9F686BBD3470C81807B23EA662A63,Marystown Arena,47.1653001,-55.1619526,119
71, 11efde8833a3670051d225be9f444f95,Orville Acres Arena,50.4275,-95.3439,119
72, 11eeb616171bd5e0ceb6edfcfeb91bd6,Grandview Agricultural Community Centre,52.4175,-100.9577,118
73, 11efcdd84450f100620f665327d1f7b1,Saxon Family Community Complex,49.1895,-104.4374,117
74, 11eebbdd59db60e0838dd72fc536eca8,Soo Pee Wee Arena,46.5105,-84.321,108
75, 11efcc743431db507989d6c33ba8c77f,Al Lawrence Memorial Arena,54.7992,-130.0782,106
76, 11E9F686BBECB2BE81807B23EA662A63,River Valley Civic Centre,46.7487471,-67.6992837,105
77, 11efdcb2fb4865d031e479e5767dddb8,Manitouwadge arena ,50.139,-89.0561,102
78, 11eebacd58e4b670787233ee30ba0aa6,Centre Sportif C E Boucher,47.6525,-70.4067,96
79, 11eeb6222b688f00ac245cf23d9a366b,Summerland Arena,49.2357,-119.0117,92
80, 11eeb7d13a5486d0e48139ff267392bd,Kachur Wealth Community Arena,52.807,-105.3626,92
81, 11eeb6da2c720620a837bc41071a607e,Thamesford District Recreation Centre,43.5651,-81.6986,91
82, 11eeb6f6ce9e1260f845c99fc6a31ba3,Manvers Arena & Community Centre,44.1836,-78.5563,91
83, 11eeca22dde18fb0d59351ed89cc1736,Beausejour Sportsplex,50.4275,-95.3439,87
84, 11efcd34d2eaa0401431a7d1d2ed686b,Kyle Community Sports Centre,51.2296,-108.702,82
85, 11E9F686BBC3FD1A81807B23EA662A63,Inch Park Arena,43.237403,-79.8591217,80
86, 11efd287b441e5104101740a70dd5205,Rapid City community complex,49.0694,-99.527,77
87, 11efddddfbf84f008dbc4d6ce46696f3,Knights Of Columbus Twin Arenas,53.6202,-113.543,77
88, 11E9F686BBC445CC81807B23EA662A63,Ingersoll & District Memorial Centre,43.0409517,-80.8822876,72
89, 11efd08efc6585e0c766955230151d67,Taylor District Ice Center,56.2478,-120.8491,71
90, aa1085f1858f4424ab5421ecadadf611,Capreol Community Centre and Arena,46.7029179,-80.919747,67
91, 11eeb550f50e99d0a6ce5f21b411b73a,Scott Safety Centre - Whitecourt Twin Arenas,54.1407,-115.6873,66
92, 11efd5095f3e38f0e9beec3e86c7d857,Geraldton Community Centre,50.139,-89.0561,66
93, 11eeb6096e308ae030fc3b42da6a5268,Welland Main Arena,42.9859,-79.2232,62
94, 11eeb71ac96842b0fac784089a0e2451,Ko Gocho Centre (Sportsplex) - Arena,62.4043,-110.7417,62
95, 11eebae8b7159cd08e501c76a8afd944,Town of Innisfail Twin Arena,52.029,-113.9474,62
96, 11eeb89115d148f0db0f21b7ada3a2e3,Iceberg Arena,49.4536,-54.1045,59
97, 11efcf3a8c8ae3a0ec51ee846fecd2c2,Richmond Arena,45.5148,-60.966,59
98, 11efe4f7b02710e0e8e7ce61c8f9fc3e,Chesterville and District Arena,45.06902849999999,-75.18573669999999,57
99, 11eebaf3374e9460a96867f16dd0bcf4,Fort Erie Leisureplex,42.8845,-78.9398,56
100, 11efe3dfc2764e00e8ef628c85420cbf,St Boniface,46.6996,-72.643,53
101, 11E9F686BBBE293081807B23EA662A63,Harman Park Arena,43.8773963,-78.845969,52
102, 11eebe335f9d54e0d7e170fe496608ae,St Martins 4 Season Complex,45.3849,-65.6331,52
103, 11eeb6f69b539420326a661f0ee49686,Harrow Arena,42.2932,-82.7075,51
104, 11eebaea1c7a3a304a96c814ae9dcd7d,Powell River Recreation Complex,49.8021,-124.5124,51
105, 11eec481dbe07650f8bca776dfb428f4,Harry O. Memorial Arena,49.1895,-104.4374,50
106, 11eeb93ad73376e01ed4b59cddd96988,Boundary Expo Recreation Centre,49.2357,-119.0117,47
107, 11eeba505ce29fd0336b7d0106883455,Ray Twinney Recreation Complex,44.0414,-79.4534,47
108, 11efcd3bdaf2bb40f1c5d0ce7eabb7b3,Complexe Sportif De St-Louis-De-France Inc,46.4024,-72.5846,47
109, 11E9F686BBE111DE81807B23EA662A63,Onoway Arena,53.7069476,-114.1929874,46
110, 11eeb743163d9310c999633b382e6569,Aldershot Arena,43.3018,-79.8497,46
111, 11eeb7664c770600c33f81f42a252b79,Hepburn Arena,52.807,-105.3626,46
112, 11efcd745b1778a07c5edeb709174625,Didsbury Memorial Complex Arena,52.0306,-113.9565,45
113, 11eec6b6c0ab3fa0d42ffb9151dc9a95,Raymore Arena,51.8194,-103.5644,44
114, 11E9F686BBD43F7C81807B23EA662A63,McIntyre Arena,48.477891,-81.2982109,43
115, 11E9F686BC0F81C281807B23EA662A63,Walpole Island Complex,42.5909326,-82.4785076,43
116, 11eeb70b7cd54920fd100fefa15eb6dd,Milton Memorial Arena,43.5034,-79.8773,43
117, 11efd6df5dcb7280fbb24aba07cc4747,Hope Rec Centre ,49.0538,-122.476,43
118, 11efce169eb10b605501b9a86d3ceb3a,Centre des sports Jean Claude Tremblay,48.3133,-70.8557,42
119, 11efde56f9e542806e961e37fce419fd,Centre sportif J.-A. Lemay,45.582,-72.0094,42
120, 11efe32eeedfcd608e2a11d9ff2f65f3,Tobique-Plex,46.9097,-67.3971,42
121, 11eeb948f1e16b10958164c4afa33fb1,Tilley arena,49.8442,-110.78,41
122, 11E9F686BBFF838081807B23EA662A63,Sydney Mines & District Community Centre,46.244039,-60.2331991,40
123, 11efd2aa953868b0cb43609db9037b5a,MCN Arena,55.8244,-98.8348,40
124, 11efdc65616a9fc0a3ad0f64ed2a4b32,Manitouwadge Community Center,50.139,-89.0561,40
125, 11efe18d222a4a909a23bbecde8236bb,Eliyahu Wellness Centre Canada Games Place Place des Jeux du Canada,46.2318,-63.1192,40
126, 11E9F686BBBB1EFC81807B23EA662A63,Grand Forks arena,49.1340816,-118.5133909,39
127, 11eec874950eca0005e7bcbec11edb41,Aréna Olympia,45.5321,-73.894,39
128, 11efcd07f77241207d7e7f32a6c0f9e2,Aréna Saint-Pamphile,46.9055,-70.7456,39
129, 11eeb8b4a1328210a0d833b02c6d8329,Aréna Saint-Lin-Laurentides,45.8522,-73.7577,38
130, 11efdf38bd249a700c2e5cf63e1b1e2b,New Waterford community Center ,46.2295,-60.0941,38
131, 11E9F686BBC9B81881807B23EA662A63,Keswick Valley Regional Complex,46.0624807,-66.8798785,37
132, 11eeb6f548c09f10b4f1058c6cf4143a,Dundalk Arena & Community Centre,44.2999,-80.4804,37
133, 11eebd5b569d0a3042bbc639dc23aa8b,Harry Lumley Bayshore Community Centre,44.5519,-80.9385,37
134, 11E9F686BB94545281807B23EA662A63,Burks Falls Arena,45.6226202,-79.4037669,36
135, 11eeb3d9b9f76f20aa55631588281247,West Colchester United Arena,45.3317,-64.7596,36
136, 11eeb9822c9dcc107fe98a4577c7de4b,Moose Jaw Events Centre,50.4019,-105.5325,36
137, 11eebf362ebf1d00d81b793057e5747c,Princeton & District Arena,49.0538,-122.476,36
138, 11E9F686BB750A3481807B23EA662A63,Aréna Luc & Marie-Claude de Baie Saint-Paul,47.440778,-70.507809,35
139, 11eec2efded509e0092439ba7bb3fe19,St. Jacobs Arena,43.7722,-80.6586,35
140, 11eebc8a539b75f0f6df272c30eb7379,Carlo Cartarello Arena,48.4466,-80.8161,34
141, 11efd476bae27f10fd0951691c5c54b1,E J Broomfield Arena,55.8889,-60.8805,34
142, 11eec0ba95f58650cddc36c5aa8a2c4b,Sungod Recreation Centre,49.1348,-122.9131,33
143, 11efcde27f78f070ac72fbd7fff4a754,Aréna Conrad-Parent,50.2206,-66.3581,33
144, 11efcebb75901dc0cb4becb479c7125b,Doug Hagel Arena,52.0306,-113.9565,33
145, 11eeb7b7be66cb50ecb2ff28eaa966de,Darlington Sports Centre,44.0286,-79.0015,32
146, 11E9F686BC0022AE81807B23EA662A63,Tamitik Jubilee Sports Complex,54.0513245,-128.6527601,31
147, 11efded6895a516004839a3c822c0043,Kipsigak Arena,70.4643,-68.4789,31
148, 11E9F686BB867CD881807B23EA662A63,Aréna St-Cyrille,45.937743,-72.418829,30
149, 11E9F686BB95427281807B23EA662A63,Cambrian Arena,46.5104043,-80.99172,30
150, 11E9F686BBAF802E81807B23EA662A63,Drumheller Memorial Arena,51.4673233,-112.708047,30
151, 11E9F686BBAFE1C281807B23EA662A63,Duncan Murray Recreation Centre,53.4123266,-117.5628518,30
152, 11eeb8bf1c1b27700663652ce727cce9,Edson and District Leisure Centre,53.5908,-116.4104,30
153, 11eeba577b589cb0f6d23fd4cbae1d68,Hodder Memorial Recreation Complex,49.1778,-57.413,30
154, 11efd8d19d573f8086ed6c535fa9893b,Jordan Arena,43.1661,-80.0702,30
155, 11eeb5ac31155cb0fc1c9db49812067b,Penticton Memorial Arena,49.5031,-119.5905,29
156, 11eeccd75e4550e0b73e51cca69c9dae,Paul J Yakabuski Community Centre,45.3985,-78.0836,29
157, 11efd3ca4b6af5103419c4a27d769a41,Hague Arena,52.807,-105.3626,29
158, 11efd863f5180a105dfe37a9d3b8096b,Berens River Memorial Arena ,55.8244,-98.8348,29
159, 11E9F686BBC866C081807B23EA662A63,KC Irving Regional Center,47.6286395,-65.680831,28
160, 11E9F686BB75AC3C81807B23EA662A63,A.G. Ross Arena,53.9011271,-110.9032488,27
161, 11E9F686BB7BE9EE81807B23EA662A63,Arena BSR,46.7044439,-71.2964888,27
162, 11E9F686BBB8470481807B23EA662A63,Galt Arena Gardens,43.3630238,-80.3066634,27
163, 11eebaeccbfda5307f4e36fd88fecfc1,Wikwemikong Recreation Center,46.0182,-82.2507,27
164, 11E9F686BB775CA881807B23EA662A63,Alberni Valley Multiplex,49.2560007,-124.7909966,26
165, 11eebaf0e71cdd502482dcb382b1081a,Powassan Sportsplex,45.8738,-79.8846,26
