Facility, stories, videos, photos, notes, reactions, contributors, points
Iceberg Arena - NL,4,0,6,1,1,4,60
Harman Park Arena - ON,4,0,5,0,4,6,59
Fort Erie Leisureplex - ON,5,0,0,6,3,9,59
Powell River Recreation Complex - BC,2,0,10,4,1,8,55
Berens River Memorial Arena  - MB,1,0,10,4,7,7,51
Onoway Arena - AB,3,0,6,2,0,4,50
Harry O. Memorial Arena - SK,4,0,2,4,0,6,50
Centre sportif J.-A. Lemay - QC,3,0,4,6,1,10,49
New Waterford community Center  - NS,2,0,9,0,0,4,47
Aldershot Arena - ON,4,0,2,1,0,5,47
Ray Twinney Recreation Complex - ON,3,0,5,2,0,4,47
Boundary Expo Recreation Centre - BC,0,1,12,1,0,4,47
Harrow Arena - ON,4,0,1,2,1,6,46
Hepburn Arena - SK,3,0,5,1,0,3,46
Didsbury Memorial Complex Arena - AB,2,0,8,1,0,7,45
Raymore Arena - SK,2,0,8,0,0,2,44
Aréna Olympia - QC,1,0,9,2,5,3,44
Hope Rec Centre  - BC,3,0,4,1,0,4,43
Milton Memorial Arena - ON,3,0,4,1,0,3,43
McIntyre Arena - ON,3,0,4,1,0,3,43
Grand Forks arena - BC,3,0,3,3,0,4,42
Tilley arena - AB,4,0,0,1,1,4,42
Tobique-Plex - NB,2,0,6,4,0,4,42
Centre des sports Jean Claude Tremblay - QC,2,0,7,1,0,2,42
Manitouwadge Community Center - ON,4,0,0,0,0,4,40
Dundalk Arena & Community Centre - ON,1,0,9,0,3,5,40
MCN Arena - MB,3,0,3,1,0,5,40
Sydney Mines & District Community Centre - NS,3,0,3,1,0,4,40
Harry Lumley Bayshore Community Centre - ON,3,0,2,1,2,3,39
Princeton & District Arena - BC,2,0,6,1,0,2,39
Aréna Saint-Pamphile - QC,2,0,6,1,0,2,39
Humphrey Arena - ON,1,0,7,1,6,3,38
Aréna Saint-Lin-Laurentides - QC,3,0,2,2,0,3,38
Aréna St-Cyrille - QC,1,0,5,5,8,6,38
West Colchester United Arena - NS,3,0,2,0,2,4,38
Tri Township Arena - ON,2,0,4,4,1,9,37
Keswick Valley Regional Complex - NB,3,0,2,1,0,4,37
Moose Jaw Events Centre - SK,2,0,5,1,0,2,36
Burks Falls Arena - ON,2,0,4,4,0,4,36
Gros Morne Regional Complex - NL,2,0,5,0,0,3,35
Aréna Luc & Marie-Claude de Baie Saint-Paul - QC,3,0,1,2,0,5,35
St. Jacobs Arena - ON,3,0,1,2,0,4,35
Doug Hagel Arena - AB,2,0,4,1,2,3,35
Aréna Conrad-Parent - QC,2,0,3,5,0,5,34
Tamitik Jubilee Sports Complex - BC,3,0,1,1,0,3,34
Kuujjuaq Forum - QC,1,0,5,1,8,2,34
E J Broomfield Arena - NL,1,0,7,3,0,5,34
Carlo Cartarello Arena - ON,3,0,1,1,0,4,34
Nattilik Arena - NU,1,0,7,2,0,4,33
Darlington Sports Centre - ON,3,0,0,2,1,4,33
Sungod Recreation Centre - BC,2,0,4,1,0,2,33
Alberni Valley Multiplex - BC,1,0,7,1,0,2,32
Jordan Arena - ON,2,0,3,1,1,2,31
Drumheller Memorial Arena - AB,2,0,3,1,0,4,30
Hodder Memorial Recreation Complex - NL,3,0,0,0,0,3,30
Duncan Murray Recreation Centre - AB,3,0,0,0,0,3,30
Edson and District Leisure Centre - AB,2,0,3,1,0,3,30
Cambrian Arena - ON,3,0,0,0,0,3,30
KC Irving Regional Center - NB,1,0,5,4,0,4,29
A.G. Ross Arena - AB,2,0,2,2,1,4,29
Penticton Memorial Arena - BC,2,0,3,0,0,2,29
Wikwemikong Recreation Center - ON,2,0,2,1,2,2,29
Hague Arena - SK,1,0,6,1,0,2,29
Paul J Yakabuski Community Centre - ON,2,0,3,0,0,2,29
Powassan Sportsplex - ON,1,0,5,1,2,2,28
Jarome Iginla and kinex arenas - AB,1,0,5,2,0,2,27
Galt Arena Gardens - ON,2,0,2,1,0,3,27
Arena BSR - QC,2,0,2,1,0,3,27
Glaslyn Arena  - SK,1,0,5,1,0,1,26
Deep River Arena - ON,1,0,5,1,0,1,26
Vulcan Arena - AB,1,0,5,0,1,1,26
