Facility, stories, videos, photos, notes, reactions, contributors, points
Trout Creek Community Centre - ON,1086,2,2905,1148,50309,1418,71052
Aréna Saint-Boniface - QC,1488,1,2976,2227,30999,2776,57046
Honeywood Arena - ON,810,44,2071,784,31026,1306,46563
Sackville Arena (LDRA) - NS,737,1,2067,714,28440,1154,42735
Pete Knight Arena - AB,663,2,1451,748,24772,1051,36523
Bashaw Arena - AB,451,0,851,438,19914,623,27415
Ivor MacDonald Memorial Arena - NS,244,0,640,269,14225,404,18854
Middleton District Arena - NS,246,0,557,310,9327,453,13768
Rolling Hills Arena - AB,248,2,349,173,7921,309,11641
Redvers rec center - SK,162,0,394,159,6533,246,9494
Big River Arena - SK,126,0,327,105,5872,200,8218
North Hastings Community Centre - ON,138,0,180,61,3627,163,5608
Don Cruickshank Memorial Arena - BC,99,0,271,78,3383,157,5264
Centre Sportif Normandin - QC,284,4,281,220,1216,412,5159
Kaetlyn Osmond Arena - NL,181,0,187,77,1381,245,3857
Athens Community Centre Centre 76 - ON,75,0,133,62,2464,123,3675
Fox Valley Skating Arena - SK,101,2,125,65,1678,125,3148
High level  Arena - AB,26,0,111,37,2039,58,2669
Foxwarren Arena - MB,64,0,175,53,1314,93,2532
St. Isidore Recreation Centre - ON,31,1,153,42,1545,74,2366
Birtle District Community Centre - MB,18,1,148,39,1187,47,1860
Haldimand Community Memorial Arena - ON,55,0,113,60,869,102,1818
Oxbow Community Arena - SK,53,0,39,52,994,57,1693
Delburne AG Arena - AB,37,0,77,27,1005,52,1633
Arborg & District Arena - MB,72,0,141,94,254,140,1491
Wasaga Beach Arena - ON,25,1,71,27,967,40,1467
Riverton Arena - MB,43,0,54,31,608,58,1231
Bill Chaplin Arena - NL,20,1,71,33,715,45,1171
Maidstone Arena - SK,28,0,74,33,634,55,1169
Duchess Arena - AB,37,0,91,39,435,55,1117
Veterans Memorial Sports Complex - MB,18,0,74,23,631,39,1056
Kinistino sports complex - SK,28,0,79,28,483,53,1028
Petitcodiac Arena - NB,43,0,79,18,322,67,1007
Longlac Sportsplex - ON,23,0,101,22,448,38,1003
North Peace Arena - BC,43,0,66,27,309,76,964
Ron Gorr Memorial Arena - AB,30,0,56,28,385,54,881
Centre Sportif Charles-Edouard-Boucher - QC,28,0,145,97,23,120,835
Frank Crane Arena - BC,34,0,119,32,104,67,833
John Levi Community Centre - ON,18,6,98,27,214,65,775
Cremona Ag Society Community Arena - AB,33,0,85,28,100,48,713
Unity Parc Arena - NL,26,0,58,23,242,42,699
La Glace Recreation Centre - AB,32,0,77,31,116,52,698
Aréna Joannie Rochette - QC,19,0,70,19,233,35,652
Goulds Arena - NL,11,0,68,16,321,28,651
Morrisburg Arena - ON,25,0,73,35,146,52,650
Elm Creek Skating Rink - MB,14,0,42,19,330,33,615
Kingston Memorial Centre - ON,24,0,49,20,183,38,590
Greenwood Arena - ON,28,0,49,32,127,63,586
Springdale Stadium and Curling Club - NL,23,0,48,14,189,33,577
Marmora Arena - ON,18,0,34,17,248,29,547
South Courtice Arena - ON,9,0,41,10,281,20,504
8th Hussars Sports Center - NB,23,0,34,15,156,42,503
Sam Ault Arena - ON,16,0,37,26,139,42,436
Eliyahu Wellness Centre Canada Games Place Place des Jeux du Canada - PE,10,0,24,6,239,18,417
Brooke-Alvinston-Inwood Community Centre Complex - ON,17,0,23,12,134,25,385
Redwood Meadows Arena - AB,16,2,52,13,13,30,362
Jim Ciccone Civic Centre - BC,9,2,49,19,79,35,355
Irma Arena - AB,15,0,59,9,12,25,348
Centre sportif de Delson - QC,19,0,35,11,38,23,344
Arena De Clarence Creek - ON,13,0,40,20,61,37,331
Sangudo Arena - AB,12,0,26,13,115,24,326
Walkerton Community Centre - ON,6,0,43,14,123,25,326
Hagersville Memorial Arena - ON,16,0,36,14,42,30,324
Eleanor Pew Memorial Arena - NS,13,0,35,11,67,21,313
Ingersoll & District Memorial Centre - ON,10,2,32,16,77,27,309
Bienfait Memorial Arena - SK,9,0,66,16,0,26,304
Cupar Memorial Rink - SK,7,0,35,13,112,25,300
Orville Acres Arena - MB,14,0,42,17,16,32,299
Centre récréatif de Donnacona - QC,11,0,36,31,50,40,299
I J Coady Memorial Arena - ON,9,0,38,9,85,19,298
Hespeler Memorial Arena - ON,14,0,31,12,50,27,295
Memorial Community Centre Arena - AB,13,0,43,13,14,23,286
Coldwater Arena - ON,15,0,18,12,64,22,280
Kaslo arena - BC,8,0,34,7,82,17,271
Ville De Bouctouche Forum - NB,15,0,17,15,37,22,253
Summerland Arena - BC,13,0,22,10,45,29,251
Centre récréatif de Blanc-Sablon - QC,7,0,34,2,73,13,247
Rheal Cormier Arena - NB,6,0,50,7,26,22,243
Lord Beaverbrook Arena - NB,15,0,25,12,0,27,237
Moosonee Arena - ON,10,0,25,7,53,17,235
De Salaberry Recreation Facility (St. Malo Arena) - MB,10,0,24,24,36,28,232
Civic Centre Arena - ON,7,0,21,16,78,23,227
Berens River Memorial Arena  - MB,6,0,24,12,80,20,224
Centre sportif J.-A. Lemay - QC,12,1,18,17,22,33,223
St Boniface - QC,10,0,18,14,54,18,222
Kipsigak Arena - NU,16,0,16,6,0,26,214
Al Lawrence Memorial Arena - BC,12,0,18,3,33,15,210
Wilfred T Lipton Arena - MB,9,0,17,11,44,16,196
River Valley Civic Centre - NB,9,0,18,9,34,16,187
Archie Miller Arena - AB,9,0,27,11,1,23,183
Saxon Family Community Complex - SK,11,0,11,5,34,17,182
Recplex - SK,7,0,20,6,31,19,167
Capreol Community Centre and Arena - ON,10,0,12,8,22,14,166
Powell River Recreation Complex - BC,10,0,12,16,3,27,155
